month,customer_id,product,compute_hours,gpu_hours,storage_tb_avg,egress_tb,active_projects,active_users
2024-01-01,CUST-0001,compute_standard,47072.92,0.00,0.00,0.00,40,225
2024-01-01,CUST-0001,gpu_a100,0.00,1424.02,0.00,0.00,40,241
2024-01-01,CUST-0001,object_storage,0.00,0.00,282.24,0.00,43,216
2024-01-01,CUST-0001,network_egress,0.00,0.00,0.00,71.05,40,233
2024-02-01,CUST-0001,compute_standard,49000.98,0.00,0.00,0.00,37,235
2024-02-01,CUST-0001,gpu_a100,0.00,1764.99,0.00,0.00,38,238
2024-02-01,CUST-0001,object_storage,0.00,0.00,306.94,0.00,36,253
2024-02-01,CUST-0001,network_egress,0.00,0.00,0.00,58.49,38,218
2024-03-01,CUST-0001,compute_standard,52246.07,0.00,0.00,0.00,37,226
2024-03-01,CUST-0001,gpu_a100,0.00,1420.82,0.00,0.00,41,238
2024-03-01,CUST-0001,object_storage,0.00,0.00,337.86,0.00,37,244
2024-03-01,CUST-0001,network_egress,0.00,0.00,0.00,77.00,38,238
2024-04-01,CUST-0001,compute_standard,49553.03,0.00,0.00,0.00,40,237
2024-04-01,CUST-0001,gpu_a100,0.00,1343.14,0.00,0.00,43,227
2024-04-01,CUST-0001,object_storage,0.00,0.00,328.64,0.00,39,232
2024-04-01,CUST-0001,network_egress,0.00,0.00,0.00,53.69,39,236
2024-05-01,CUST-0001,compute_standard,43355.28,0.00,0.00,0.00,41,232
2024-05-01,CUST-0001,gpu_a100,0.00,2138.66,0.00,0.00,40,221
2024-05-01,CUST-0001,object_storage,0.00,0.00,305.90,0.00,44,230
2024-05-01,CUST-0001,network_egress,0.00,0.00,0.00,58.74,42,228
2024-06-01,CUST-0001,compute_standard,51002.42,0.00,0.00,0.00,39,240
2024-06-01,CUST-0001,gpu_a100,0.00,2183.25,0.00,0.00,42,258
2024-06-01,CUST-0001,object_storage,0.00,0.00,332.24,0.00,38,229
2024-06-01,CUST-0001,network_egress,0.00,0.00,0.00,74.35,37,217
2024-07-01,CUST-0001,compute_standard,51714.24,0.00,0.00,0.00,36,238
2024-07-01,CUST-0001,gpu_a100,0.00,2381.10,0.00,0.00,39,228
2024-07-01,CUST-0001,object_storage,0.00,0.00,336.72,0.00,41,235
2024-07-01,CUST-0001,network_egress,0.00,0.00,0.00,70.66,41,240
2024-08-01,CUST-0001,compute_standard,45927.56,0.00,0.00,0.00,37,234
2024-08-01,CUST-0001,gpu_a100,0.00,1876.60,0.00,0.00,38,243
2024-08-01,CUST-0001,object_storage,0.00,0.00,314.73,0.00,37,235
2024-08-01,CUST-0001,network_egress,0.00,0.00,0.00,80.86,37,226
2024-09-01,CUST-0001,compute_standard,49795.85,0.00,0.00,0.00,38,230
2024-09-01,CUST-0001,gpu_a100,0.00,2484.26,0.00,0.00,37,244
2024-09-01,CUST-0001,object_storage,0.00,0.00,317.11,0.00,36,234
2024-09-01,CUST-0001,network_egress,0.00,0.00,0.00,72.01,36,259
2024-10-01,CUST-0001,compute_standard,60391.02,0.00,0.00,0.00,39,227
2024-10-01,CUST-0001,gpu_a100,0.00,2325.78,0.00,0.00,38,224
2024-10-01,CUST-0001,object_storage,0.00,0.00,341.83,0.00,42,234
2024-10-01,CUST-0001,network_egress,0.00,0.00,0.00,82.74,43,215
2024-11-01,CUST-0001,compute_standard,74504.41,0.00,0.00,0.00,37,231
2024-11-01,CUST-0001,gpu_a100,0.00,1529.24,0.00,0.00,33,240
2024-11-01,CUST-0001,object_storage,0.00,0.00,321.74,0.00,39,225
2024-11-01,CUST-0001,network_egress,0.00,0.00,0.00,66.12,39,225
2024-12-01,CUST-0001,compute_standard,78922.59,0.00,0.00,0.00,33,221
2024-12-01,CUST-0001,gpu_a100,0.00,1327.74,0.00,0.00,40,240
2024-12-01,CUST-0001,object_storage,0.00,0.00,369.86,0.00,40,244
2024-12-01,CUST-0001,network_egress,0.00,0.00,0.00,70.99,38,226
2025-01-01,CUST-0001,compute_standard,52778.58,0.00,0.00,0.00,39,224
2025-01-01,CUST-0001,gpu_a100,0.00,1762.36,0.00,0.00,35,233
2025-01-01,CUST-0001,object_storage,0.00,0.00,316.69,0.00,41,238
2025-01-01,CUST-0001,network_egress,0.00,0.00,0.00,78.97,39,229
2025-02-01,CUST-0001,compute_standard,57737.06,0.00,0.00,0.00,42,229
2025-02-01,CUST-0001,gpu_a100,0.00,2523.77,0.00,0.00,42,234
2025-02-01,CUST-0001,object_storage,0.00,0.00,330.54,0.00,36,236
2025-02-01,CUST-0001,network_egress,0.00,0.00,0.00,67.21,38,234
