opportunity_id,crm_account_id,opportunity_name,opportunity_type,stage,forecast_category,probability,expected_close_date,expected_start_month,contract_term_months,total_contract_value_usd,expected_committed_spend_usd,expected_monthly_consumption_usd,payment_structure,owner_forecast_notes
OPP-1001,ACC-0002,HelioBank expansion gpu_reserved_capacity,New Logo,Solution Fit,Upside,0.55,2026-08-24,2026-09-01,24,229146,126273,11975,commit_drawdown,Legal review in progress.
OPP-1002,ACC-0008,Orbit Media expansion compute_savings_plan,Renewal,Solution Fit,Upside,0.4,2026-08-14,2026-09-01,24,646769,610923,29852,quarterly_prepay,Legal review in progress.
OPP-1003,ACC-0009,Quantum Cart expansion compute_savings_plan,New Logo,Proposal,Best Case,0.25,2026-08-22,2026-10-01,24,76206,62452,2799,monthly_arrears,Sales expects fast ramp.
OPP-1004,ACC-0012,BrightApps expansion cloud_commit_plan,Expansion,Negotiation,Commit,0.7,2026-08-16,2026-09-01,24,543070,422515,15928,commit_drawdown,Sales expects fast ramp.
OPP-1005,ACC-0014,Atlas Retail expansion gpu_reserved_capacity,Expansion,Solution Fit,Pipeline,0.25,2026-07-15,2026-07-01,36,411830,246629,24492,annual_prepay,Sales expects fast ramp.
OPP-1006,ACC-0015,NovaLearn expansion network_commit,Expansion,Discovery,Pipeline,0.25,2026-10-25,2026-11-01,36,814034,762592,39798,quarterly_prepay,Legal review in progress.
OPP-1007,ACC-0016,PeakMetrics expansion cloud_commit_plan,New Logo,Proposal,Commit,0.55,2026-07-09,2026-09-01,36,630226,447413,26980,quarterly_prepay,Procurement timing uncertain.
OPP-1008,ACC-0019,OmniPay expansion gpu_reserved_capacity,New Logo,Proposal,Best Case,0.7,2026-09-22,2026-10-01,12,723746,424568,41603,monthly_arrears,Ramp depends on capacity allocation.
OPP-1009,ACC-0022,HelioBank Ltd. expansion gpu_reserved_capacity,Expansion,Commit,Best Case,0.4,2026-08-15,2026-08-01,24,428490,328326,18694,monthly_arrears,Sales expects fast ramp.
OPP-1010,ACC-0024,Northstar Gaming Ltd. expansion object_storage_commit,New Logo,Proposal,Pipeline,0.25,2026-09-14,2026-09-01,36,1097100,790682,33519,monthly_arrears,Ramp depends on capacity allocation.
OPP-1011,ACC-0028,Orbit Media Ltd. expansion object_storage_commit,Expansion,Commit,Upside,0.55,2026-08-20,2026-08-01,36,230608,194226,9736,commit_drawdown,Legal review in progress.
OPP-1012,ACC-0031,MedNova Ltd. expansion compute_savings_plan,Renewal,Solution Fit,Best Case,0.55,2026-08-14,2026-10-01,36,648840,382713,20371,monthly_arrears,Legal review in progress.
OPP-1013,ACC-0034,Atlas Retail Ltd. expansion gpu_reserved_capacity,Expansion,Solution Fit,Commit,0.25,2026-10-04,2026-10-01,24,644686,526706,53689,monthly_arrears,Legal review in progress.
OPP-1014,ACC-0035,NovaLearn Ltd. expansion cloud_commit_plan,New Logo,Discovery,Upside,0.7,2026-09-23,2026-10-01,12,224245,155680,14264,annual_prepay,Ramp depends on capacity allocation.
